zipcode,total_population,single,married,divorced_widowed,german_citizens,non_german_citizens,under_20_years,20_to_64_years,65_years_older,subject_to_social_security_svb,unemployed,population_density
52062,28632.0,21824.0,5015.0,598.0,17837.0,10795.0,2779.0,23153.0,2700.0,12540.0,1350.0,6818
52064,26434.0,19299.0,5120.0,778.0,18924.0,7510.0,2740.0,20669.0,3025.0,11580.0,1240.0,5471
52066,25742.0,15328.0,7771.0,997.0,20733.0,5009.0,3707.0,17631.0,4404.0,11280.0,1210.0,4115
52068,11292.0,6853.0,3081.0,505.0,5721.0,5571.0,2054.0,7622.0,1616.0,4950.0,530.0,3427
52070,29784.0,19649.0,7201.0,1097.0,19094.0,10690.0,4493.0,21437.0,3854.0,13040.0,1400.0,3819
52072,19486.0,8322.0,8437.0,1276.0,16775.0,2711.0,3383.0,10930.0,5173.0,8540.0,920.0,1125
52074,30731.0,16502.0,10751.0,1616.0,23602.0,7129.0,5114.0,18921.0,6696.0,13460.0,1450.0,1866
52076,15504.0,5934.0,7206.0,1141.0,14084.0,1420.0,2901.0,8289.0,4314.0,6790.0,730.0,446
52078,39815.0,17865.0,16365.0,2367.0,31286.0,8529.0,7877.0,22963.0,8975.0,17440.0,1870.0,1952
52080,35345.0,15482.0,14879.0,2273.0,29450.0,5895.0,6449.0,20442.0,8454.0,15480.0,1660.0,1434
52134,48666.0,19320.0,21948.0,7398.0,42476.0,6190.0,9052.0,28519.0,11095.0,15340.0,1890.0,1457
52146,38865.0,15429.0,17528.0,5908.0,33890.0,4975.0,7228.0,22736.0,8901.0,12240.0,1510.0,1130
52152,15600.0,6193.0,7145.0,2262.0,14664.0,936.0,2964.0,9126.0,3510.0,4910.0,600.0,141
52156,11650.0,4625.0,5336.0,1689.0,10951.0,699.0,2213.0,6815.0,2622.0,3670.0,450.0,123
52159,8650.0,3434.0,3962.0,1254.0,8131.0,519.0,1643.0,5060.0,1947.0,2720.0,330.0,222
52222,18900.0,7654.0,8354.0,2892.0,16537.0,2363.0,3685.0,11057.0,4158.0,5930.0,780.0,720
52223,18900.0,7654.0,8354.0,2892.0,16537.0,2363.0,3685.0,11057.0,4158.0,5930.0,780.0,685
52224,18900.0,7654.0,8354.0,2892.0,16537.0,2363.0,3685.0,11057.0,4158.0,5930.0,780.0,310
52249,56340.0,22818.0,24958.0,8564.0,48002.0,8338.0,10930.0,32959.0,12451.0,17680.0,2420.0,744
52351,93351.0,38180.0,41075.0,14096.0,77201.0,16150.0,18763.0,54611.0,19977.0,29310.0,4110.0,1098
52379,14150.0,5688.0,6268.0,2194.0,12947.0,1203.0,2759.0,8278.0,3113.0,4440.0,610.0,341
52382,14300.0,5749.0,6335.0,2216.0,13084.0,1216.0,2788.0,8366.0,3146.0,4490.0,620.0,417
52428,33150.0,13525.0,14520.0,5105.0,28642.0,4508.0,6298.0,19724.0,7128.0,10410.0,1430.0,364
52477,48893.0,19802.0,21659.0,7432.0,40240.0,8653.0,9730.0,28602.0,10561.0,14280.0,2010.0,1543
52499,27520.0,11145.0,12191.0,4184.0,23997.0,3523.0,5476.0,16099.0,5945.0,8090.0,1130.0,991
52531,25150.0,10186.0,11141.0,3823.0,21403.0,3747.0,4904.0,14713.0,5533.0,7390.0,1030.0,1003
