Model,Adjusted R-Squared,R-Squared,RMSE,mean_absolute_error,Time Taken
RandomForestRegressor,0.9112975714388679,0.9117347192242105,18.95482394854882,4.526858024570864,81.1984875202179
MLPRegressor,0.9087555303120965,0.9092052059128196,19.224509839604305,5.152066102400827,28.221093893051147
LGBMRegressor,0.9081943014164539,0.9086467428937463,19.283542515427786,4.601103805285693,0.8524689674377441
ExtraTreesRegressor,0.9079979951789772,0.908451404102577,19.30414830729086,4.536558244149431,26.77002215385437
Ridge,0.9079953334476616,0.90844875548894,19.304427551664592,4.868865058351255,0.20387816429138184
BayesianRidge,0.9079614952411251,0.9084150840455608,19.307977193111096,4.868893861579506,0.2794768810272217
LassoLarsIC,0.9079598373945008,0.90841343436922,19.30815108511832,4.866793528055317,0.2904679775238037
LarsCV,0.9079519421493097,0.9084055780337746,19.308979198159854,4.87431156120184,0.7023465633392334
LassoLarsCV,0.9078999858346354,0.9083538777728326,19.314427883856407,4.865372313256829,0.5383119583129883
RidgeCV,0.9078626499792252,0.9083167259178694,19.318342365441904,4.868928948564076,0.3080480098724365
LinearRegression,0.9077870030210974,0.9082414517668986,19.32627114786879,4.86694793528713,0.23560786247253418
TransformedTargetRegressor,0.9077870030210974,0.9082414517668986,19.32627114786879,4.86694793528713,0.1675124168395996
LassoCV,0.9060437089998463,0.906506749135229,19.508098152425994,4.833530608435151,1.2087719440460205
GradientBoostingRegressor,0.904226178953676,0.9046981763323649,19.69588079718702,4.82532138834642,16.298219919204712
HuberRegressor,0.9035946395843334,0.9040697493472168,19.760712114733874,4.708706061976151,1.284705638885498
LinearSVR,0.9027540082481743,0.9032332608528362,19.846679423901556,4.7130127061947915,3.898423433303833
BaggingRegressor,0.9018172275771529,0.902301096871598,19.942042868063805,4.825500087409996,6.570528268814087
OrthogonalMatchingPursuitCV,0.900316408294862,0.9008076740026421,20.093881589956137,4.876044963861942,0.2762627601623535
ElasticNetCV,0.8994875159422381,0.8999828666391454,20.177251298919604,4.96610628019568,0.9377965927124023
Lasso,0.8990776755630475,0.8995750460559967,20.218345894557714,4.879051203383996,0.41341209411621094
LassoLars,0.8990639979495322,0.8995614358491866,20.219715905373885,4.879317704618224,0.2543296813964844
HistGradientBoostingRegressor,0.8963791601682982,0.8968898296210128,20.48686727199168,4.843379471700683,0.8626623153686523
XGBRegressor,0.8960653808285352,0.8965775966644287,20.517865095714455,4.6799540519714355,1.1551837921142578
KNeighborsRegressor,0.8945560245034648,0.8950756788253784,20.666304226230043,6.275453567504883,2.137089967727661
SGDRegressor,0.8927561732909763,0.8932846977304758,20.84194046363028,5.5637862103964855,0.3362617492675781
OrthogonalMatchingPursuit,0.8918249797415639,0.8923580933361119,20.932229730528604,5.496290278314493,0.1611185073852539
PassiveAggressiveRegressor,0.8917857242422346,0.8923190312977156,20.936027421505788,7.157861248859625,0.20244860649108887
ElasticNet,0.8743520325534436,0.8749712572082027,22.55951370162095,5.45282956169824,0.31798720359802246
TweedieRegressor,0.8577944032583926,0.8584952280575251,23.999950413969067,5.8209602637560725,0.1828322410583496
DecisionTreeRegressor,0.8496226240786944,0.8503637214524187,24.67989177547179,6.34846492667561,1.089400053024292
KernelRidge,0.8272837063979777,0.8281348955532855,26.449572360639927,19.01570405550263,519.3148515224457
RANSACRegressor,0.8234802415156222,0.8243501750985281,26.739215547292876,7.296376714283442,0.7239787578582764
ExtraTreeRegressor,0.8070416045725323,0.8079925518756971,27.95656695891299,6.577811157340589,0.5998067855834961
PoissonRegressor,0.5645919834244633,0.5667377831872649,41.99525380055404,12.959424239791167,0.444744348526001
NuSVR,0.1914838541276619,0.19546842420443522,57.226389754229466,9.643636887503494,95.95237517356873
SVR,0.18122638340463315,0.1852615048663293,57.588255103613214,9.60214908662134,99.65115475654602
DummyRegressor,-0.005104923821328988,-0.00015151500701904297,63.80543889985496,20.79651641845703,0.13808679580688477
GaussianProcessRegressor,-0.022328337739395687,-0.01729004762733033,64.3497996972817,13.92060485226696,2488.0985729694366
QuantileRegressor,-0.049909235074566016,-0.0447350193922158,65.21205374001951,16.077298839675343,36.967748165130615
AdaBoostRegressor,-0.8396922229127008,-0.8306257588484842,86.32261459663023,83.91383658975184,4.690910339355469
Lars,-3418055.579303133,-3401210.540355995,117663.4622959049,33315.17154646641,0.3715512752532959
GammaRegressor,-21003564.558405276,-20900053.72654765,291674.5343496015,7124.795011522733,0.22025108337402344
