municipality_ags,municipality_name,total_population,area_sq_km
05334002,"Aachen, Stadt",262670,160.85
05334004,"Alsdorf, Stadt",48810,31.68
05334008,"Baesweiler, Stadt",29206,27.84
05334012,"Eschweiler, Stadt",57534,75.75
05334016,"Herzogenrath, Stadt",48574,33.38
05334020,"Monschau, Stadt",12389,94.6
05334024,"Roetgen, Tor zur Eifel",8786,39.03
05334028,Simmerath,16612,110.92
05334032,"Stolberg (Rhld.), Kupferstadt",57684,98.48
05334036,"Würselen, Stadt",40145,34.39
05358008,"Düren, Stadt",94568,85.01
05358016,Hürtgenwald,9196,88.05
05358024,"Jülich, Stadt",34890,90.39
05358032,Langerwehe,14976,41.46
05358036,"Linnich, Stadt",13653,65.43
05358044,"Nideggen, Stadt",10764,65.04
05358048,Niederzier,15060,63.46
05358056,Titz,9052,68.51
05370004,"Erkelenz, Stadt",45315,117.34
05370008,Gangelt,13410,48.72
05370012,"Geilenkirchen, Stadt",28494,83.16
05370016,"Heinsberg, Stadt",43163,92.21
05370020,"Hückelhoven, Stadt",41192,61.27
05370028,"Übach-Palenberg, Stadt",24277,26.09
05370036,"Wassenberg, Stadt",19713,42.43
